Ortsnetzkennzahl,Ortsnetzname,Bundesland,PLZ
00492254,Weilerswist,Nordrhein-Westfalen,53919
00492255,Euskirchen-Flamersheim,Nordrhein-Westfalen,NA
00492256,Mechernich-Satzvey,Nordrhein-Westfalen,NA
00492257,Reckerscheid,Nordrhein-Westfalen,NA
00492261,Gummersbach,Nordrhein-Westfalen,51702; 51643; 51645; 51647
00492262,Wiehl,Nordrhein-Westfalen,51674
00492263,Engelskirchen,Nordrhein-Westfalen,51766
00492264,Marienheide,Nordrhein-Westfalen,51709
00492265,Reichshof-Eckenhagen,Nordrhein-Westfalen,NA
00492266,Lindlar,Nordrhein-Westfalen,51789
00492267,Wipperfürth,Nordrhein-Westfalen,51688
00492268,Kürten,Nordrhein-Westfalen,51515
00492269,Kierspe-Rönsahl,Nordrhein-Westfalen,NA
00492271,Bergheim Erft,Nordrhein-Westfalen,50126; 50127; 50129
00492272,Bedburg Erft,Nordrhein-Westfalen,50181
00492273,Kerpen-Horrem,Nordrhein-Westfalen,NA
00492274,Elsdorf Rheinl,Nordrhein-Westfalen,50189
00492275,Kerpen-Buir,Nordrhein-Westfalen,NA
0049228,Bonn,Nordrhein-Westfalen,53347; 53111; 53113; 53115; 53117; 53119; 53121; 53123; 53125; 53127; 53129; 53173; 53175; 53177; 53179; 53225; 53227; 53229; 53343
00492291,Waldbröl,Nordrhein-Westfalen,51545
00492292,Windeck Sieg,Nordrhein-Westfalen,51570
00492293,Nümbrecht,Nordrhein-Westfalen,51588
00492294,Morsbach Sieg,Nordrhein-Westfalen,51598; 51597
00492295,Ruppichteroth,Nordrhein-Westfalen,53809
00492296,Reichshof-Brüchermühle,Nordrhein-Westfalen,51580
00492297,Wildbergerhütte,Nordrhein-Westfalen,NA
00492301,Holzwickede,Nordrhein-Westfalen,59439
00492302,Witten,Nordrhein-Westfalen,58452; 58453; 58454; 58455; 58456
00492303,Unna,Nordrhein-Westfalen,59423; 59425; 59427
00492304,Schwerte,Nordrhein-Westfalen,58239; 58239
00492305,Castrop-Rauxel,Nordrhein-Westfalen,44575; 44577; 44579; 44581
00492306,Lünen,Nordrhein-Westfalen,44532; 44534; 44536
00492307,Kamen,Nordrhein-Westfalen,59192; 59174
00492308,Unna-Hemmerde,Nordrhein-Westfalen,NA
00492309,Waltrop,Nordrhein-Westfalen,45731
0049231,Dortmund,Nordrhein-Westfalen,44135; 44137; 44139; 44141; 44143; 44145; 44147; 44149; 44225; 44227; 44229; 44263; 44265; 44267; 44269; 44287; 44289; 44309; 44319; 44328; 44329; 44339; 44357; 44359; 44369; 44379; 44388
00492323,Herne,Nordrhein-Westfalen,44623; 44625; 44627; 44628; 44629; 44649; 44651; 44652; 44653
00492324,Hattingen Ruhr,Nordrhein-Westfalen,45525; 45527; 45529
00492325,Wanne-Eickel,Nordrhein-Westfalen,NA
00492327,Bochum-Wattenscheid,Nordrhein-Westfalen,NA
00492330,Herdecke,Nordrhein-Westfalen,58313
00492331,Hagen Westf,Nordrhein-Westfalen,58089; 58091; 58093; 58095; 58097; 58099; 58119; 58135
00492332,Gevelsberg,Nordrhein-Westfalen,58285; 58285
00492333,Ennepetal,Nordrhein-Westfalen,58256; 58256
00492334,Hagen-Hohenlimburg,Nordrhein-Westfalen,NA
00492335,Wetter Ruhr,Nordrhein-Westfalen,58300
00492336,Schwelm,Nordrhein-Westfalen,58332
00492337,Hagen-Dahl,Nordrhein-Westfalen,NA
00492338,Breckerfeld,Nordrhein-Westfalen,58339
00492339,Sprockhövel-Haßlinghausen,Nordrhein-Westfalen,45549
0049234,Bochum,Nordrhein-Westfalen,44787; 44789; 44791; 44793; 44795; 44797; 44799; 44801; 44803; 44805; 44807; 44809; 44866; 44867; 44869; 44879; 44892; 44894
00492351,Lüdenscheid,Nordrhein-Westfalen,58507; 58509; 58511; 58513; 58515
00492352,Altena Westf,Nordrhein-Westfalen,58762; 58769; 58769
00492353,Halver,Nordrhein-Westfalen,58553
00492354,Meinerzhagen,Nordrhein-Westfalen,58540
00492355,Schalksmühle,Nordrhein-Westfalen,58579
00492357,Herscheid Westf,Nordrhein-Westfalen,58849; 58849
00492358,Meinerzhagen-Valbert,Nordrhein-Westfalen,NA
00492359,Kierspe,Nordrhein-Westfalen,58566
00492360,Haltern-Lippramsdorf,Nordrhein-Westfalen,NA
00492361,Recklinghausen,Nordrhein-Westfalen,45657; 45659; 45661; 45663; 45665
00492362,Dorsten,Nordrhein-Westfalen,46282; 46284; 46286
00492363,Datteln,Nordrhein-Westfalen,45711
00492364,Haltern Westf,Nordrhein-Westfalen,45721
00492365,Marl,Nordrhein-Westfalen,45768; 45770; 45772
00492366,Herten Westf,Nordrhein-Westfalen,45699; 45701
00492367,Henrichenburg,Nordrhein-Westfalen,NA
00492368,Oer-Erkenschwick,Nordrhein-Westfalen,45739
00492369,Dorsten-Wulfen,Nordrhein-Westfalen,NA
00492371,Iserlohn,Nordrhein-Westfalen,58636; 58638; 58640; 58642; 58644
00492372,Hemer,Nordrhein-Westfalen,58675
00492373,Menden Sauerland,Nordrhein-Westfalen,58730; 58706; 58708; 58710
00492374,Iserlohn-Letmathe,Nordrhein-Westfalen,NA
00492375,Balve,Nordrhein-Westfalen,58802
00492377,Wickede Ruhr,Nordrhein-Westfalen,58739
00492378,Fröndenberg-Langschede,Nordrhein-Westfalen,NA
00492379,Menden-Asbeck,Nordrhein-Westfalen,NA
00492381,Hamm Westf,Nordrhein-Westfalen,59063; 59065; 59067; 59069; 59071; 59073; 59075; 59077
00492382,Ahlen Westf,Nordrhein-Westfalen,59227; 59229
00492383,Bönen,Nordrhein-Westfalen,59199
00492384,Welver,Nordrhein-Westfalen,59514
00492385,Hamm-Rhynern,Nordrhein-Westfalen,NA
00492387,Drensteinfurt-Walstedde,Nordrhein-Westfalen,NA
00492388,Hamm-Uentrop,Nordrhein-Westfalen,NA
00492389,Werne,Nordrhein-Westfalen,59368
00492391,Plettenberg,Nordrhein-Westfalen,58840
00492392,Werdohl,Nordrhein-Westfalen,58809; 58791
00492393,Sundern-Allendorf,Nordrhein-Westfalen,NA
00492394,Neuenrade-Affeln,Nordrhein-Westfalen,NA
00492395,Finnentrop-Rönkhausen,Nordrhein-Westfalen,NA
00492401,Baesweiler,Nordrhein-Westfalen,52499
00492402,Stolberg Rheinl,Nordrhein-Westfalen,52222; 52223; 52224
00492403,Eschweiler Rheinl,Nordrhein-Westfalen,52249
00492404,Alsdorf Rheinl,Nordrhein-Westfalen,52477
00492405,Würselen,Nordrhein-Westfalen,52146
00492406,Herzogenrath,Nordrhein-Westfalen,52134
00492407,Herzogenrath-Kohlscheid,Nordrhein-Westfalen,NA
00492408,Aachen-Kornelimünster,Nordrhein-Westfalen,NA
00492409,Stolberg-Gressenich,Nordrhein-Westfalen,NA
0049241,Aachen,Nordrhein-Westfalen,52062; 52064; 52066; 52068; 52070; 52072; 52074; 52076; 52078; 52080
00492421,Düren,Nordrhein-Westfalen,52349; 52351; 52353; 52355; 52399
00492422,Kreuzau,Nordrhein-Westfalen,52372
00492423,Langerwehe,Nordrhein-Westfalen,52379
00492424,Vettweiss,Nordrhein-Westfalen,52391
00492425,Nideggen-Embken,Nordrhein-Westfalen,NA
00492426,Nörvenich,Nordrhein-Westfalen,52388
00492427,Nideggen,Nordrhein-Westfalen,52385
00492428,Niederzier,Nordrhein-Westfalen,52382
00492429,Hürtgenwald,Nordrhein-Westfalen,52393
00492431,Erkelenz,Nordrhein-Westfalen,41812
00492432,Wassenberg,Nordrhein-Westfalen,41849
00492433,Hückelhoven,Nordrhein-Westfalen,41836
00492434,Wegberg,Nordrhein-Westfalen,41844
00492435,Erkelenz-Lövenich,Nordrhein-Westfalen,NA
00492436,Wegberg-Rödgen,Nordrhein-Westfalen,NA
00492440,Nettersheim-Tondorf,Nordrhein-Westfalen,NA
00492441,Kall,Nordrhein-Westfalen,53925
00492443,Mechernich,Nordrhein-Westfalen,53894
00492444,Schleiden-Gemünd,Nordrhein-Westfalen,NA
00492445,Schleiden Eifel,Nordrhein-Westfalen,53937
00492446,Heimbach Eifel,Nordrhein-Westfalen,52396
00492447,Dahlem b Kall,Nordrhein-Westfalen,53949
00492448,Hellenthal-Rescheid,Nordrhein-Westfalen,NA
00492449,Blankenheim Ahr,Nordrhein-Westfalen,53945
00492451,Geilenkirchen,Nordrhein-Westfalen,52511; 52531
00492452,Heinsberg Rheinl,Nordrhein-Westfalen,52525
00492453,Heinsberg-Randerath,Nordrhein-Westfalen,NA
00492454,Gangelt,Nordrhein-Westfalen,52538
00492455,Waldfeucht,Nordrhein-Westfalen,52525
00492456,Selfkant,Nordrhein-Westfalen,52538
00492461,Jülich,Nordrhein-Westfalen,52428
00492462,Linnich,Nordrhein-Westfalen,52441
00492463,Titz,Nordrhein-Westfalen,52445
00492464,Aldenhoven b Jülich,Nordrhein-Westfalen,52457
00492465,Inden,Nordrhein-Westfalen,52459
00492471,Roetgen Eifel,Nordrhein-Westfalen,52159
00492472,Monschau,Nordrhein-Westfalen,52156
00492473,Simmerath,Nordrhein-Westfalen,52152
00492474,Nideggen-Schmidt,Nordrhein-Westfalen,NA
00492482,Hellenthal,Nordrhein-Westfalen,53940
00492484,Mechernich-Eiserfey,Nordrhein-Westfalen,NA
00492485,Schleiden-Dreiborn,Nordrhein-Westfalen,NA
00492486,Nettersheim,Nordrhein-Westfalen,53947
00492501,Münster-Hiltrup,Nordrhein-Westfalen,NA
00492502,Nottuln,Nordrhein-Westfalen,48301
00492504,Telgte,Nordrhein-Westfalen,48291
00492505,Altenberge Westf,Nordrhein-Westfalen,48341
00492506,Münster-Wolbeck,Nordrhein-Westfalen,NA
00492507,Havixbeck,Nordrhein-Westfalen,48329
00492508,Drensteinfurt,Nordrhein-Westfalen,48317
00492509,Nottuln-Appelhülsen,Nordrhein-Westfalen,NA
0049251,Münster,Nordrhein-Westfalen,48143; 48145; 48147; 48149; 48151; 48153; 48155; 48157; 48159; 48161; 48163; 48165; 48167
00492520,Wadersloh-Diestedde,Nordrhein-Westfalen,NA
00492521,Beckum,Nordrhein-Westfalen,59269
00492522,Oelde,Nordrhein-Westfalen,59302
00492523,Wadersloh,Nordrhein-Westfalen,59329
00492524,Ennigerloh,Nordrhein-Westfalen,59320
00492525,Beckum-Neubeckum,Nordrhein-Westfalen,NA
00492526,Sendenhorst,Nordrhein-Westfalen,48324
00492527,Lippetal-Lippborg,Nordrhein-Westfalen,NA
00492528,Ennigerloh-Enniger,Nordrhein-Westfalen,NA
00492529,Oelde-Stromberg,Nordrhein-Westfalen,NA
00492532,Ostbevern,Nordrhein-Westfalen,48346
00492533,Münster-Nienberge,Nordrhein-Westfalen,NA
00492534,Münster-Roxel,Nordrhein-Westfalen,NA
00492535,Sendenhorst-Albersloh,Nordrhein-Westfalen,NA
00492536,Münster-Albachten,Nordrhein-Westfalen,NA
00492538,Drensteinfurt-Rinkerode,Nordrhein-Westfalen,NA
00492541,Coesfeld,Nordrhein-Westfalen,48653
00492542,Gescher,Nordrhein-Westfalen,48712
00492543,Billerbeck Westf,Nordrhein-Westfalen,48727
00492545,Rosendahl-Darfeld,Nordrhein-Westfalen,NA
00492546,Coesfeld-Lette,Nordrhein-Westfalen,NA
00492547,Rosendahl-Osterwick,Nordrhein-Westfalen,48720
00492548,Dülmen-Rorup,Nordrhein-Westfalen,NA
00492551,Steinfurt-Burgsteinfurt,Nordrhein-Westfalen,48565
00492552,Steinfurt-Borghorst,Nordrhein-Westfalen,NA
00492553,Ochtrup,Nordrhein-Westfalen,48607
00492554,Laer Kr Steinfurt,Nordrhein-Westfalen,48366
00492555,Schöppingen,Nordrhein-Westfalen,48624
00492556,Metelen,Nordrhein-Westfalen,48629
00492557,Wettringen Kr Steinfurt,Nordrhein-Westfalen,48493
00492558,Horstmar,Nordrhein-Westfalen,48612
00492561,Ahaus,Nordrhein-Westfalen,48683
00492562,Gronau Westfalen,Nordrhein-Westfalen,48599
00492563,Stadtlohn,Nordrhein-Westfalen,48703
00492564,Vreden,Nordrhein-Westfalen,48691
00492565,Gronau-Epe,Nordrhein-Westfalen,NA
00492566,Legden,Nordrhein-Westfalen,48739
00492567,Ahaus-Alstätte,Nordrhein-Westfalen,NA
00492568,Heek,Nordrhein-Westfalen,48619
00492571,Greven Westf,Nordrhein-Westfalen,48268
00492572,Emsdetten,Nordrhein-Westfalen,48282
00492573,Nordwalde,Nordrhein-Westfalen,48356
00492574,Saerbeck,Nordrhein-Westfalen,48369; 48369
00492575,Greven-Reckenfeld,Nordrhein-Westfalen,NA
00492581,Warendorf,Nordrhein-Westfalen,48231
00492582,Everswinkel,Nordrhein-Westfalen,48351
00492583,Sassenberg,Nordrhein-Westfalen,48336
00492584,Warendorf-Milte,Nordrhein-Westfalen,NA
00492585,Warendorf-Hoetmar,Nordrhein-Westfalen,NA
00492586,Beelen,Nordrhein-Westfalen,48361
00492587,Ennigerloh-Westkirchen,Nordrhein-Westfalen,NA
00492588,Harsewinkel-Greffen,Nordrhein-Westfalen,NA
00492590,Dülmen-Buldern,Nordrhein-Westfalen,NA
00492591,Lüdinghausen,Nordrhein-Westfalen,59348
00492592,Selm,Nordrhein-Westfalen,59379
00492593,Ascheberg Westf,Nordrhein-Westfalen,59387
00492594,Dülmen,Nordrhein-Westfalen,48249
00492595,Olfen,Nordrhein-Westfalen,59399
00492596,Nordkirchen,Nordrhein-Westfalen,59394
00492597,Senden Westf,Nordrhein-Westfalen,48308
00492598,Senden-Ottmarsbocholt,Nordrhein-Westfalen,NA
00492599,Ascheberg-Herbern,Nordrhein-Westfalen,NA
00492601,Nauort,Rheinland-Pfalz,56237; 56237; 56271; 56170; 56237; 56237; 56237
00492602,Montabaur,Rheinland-Pfalz,56424; 56412; 56412; 56428; 56412; 56412; 56412; 56244; 56410; 56424; 56414; 56412; 56414; 56244; 56412; 56412; 56424; 56412; 56422
00492603,Bad Ems,Rheinland-Pfalz,56337; 56130; 56132; 56130; 56132; 56133; 56132; 56130; 56130; 56132; 56132; 56132
00492604,Nassau Lahn,Rheinland-Pfalz,56370; 56379; 56357; 56377; 56379; 56377; 56377; 56379; 56379; 56377; 56377; 56379; 56379; 56377; 56379; 56379
00492605,Löf,Rheinland-Pfalz,56332; 56332; 56332; 56290; 56294; 56332; 56332; 56294; 56332; 56290; 56283; 56294; 56283; 56332; 56753; 56294
00492606,Winningen Mosel,Rheinland-Pfalz,56333
00492607,Kobern-Gondorf,Rheinland-Pfalz,56332; 56330; 56330; 56332; 56332; 56332
00492608,Welschneudorf,Rheinland-Pfalz,56412; 56412; 56379
0049261,Koblenz a Rhein,Rheinland-Pfalz,57589; 56068; 56070; 56072; 56073; 56075; 56076; 56077; 56753; 56179; 57589; 56862; 56220; 56220; 57577; 56182; 56179
00492620,Neuhäusel Westerw,Rheinland-Pfalz,56337; 56337; 56335; 56337
00492621,Lahnstein,Rheinland-Pfalz,56112
00492622,Bendorf Rhein,Rheinland-Pfalz,56170; 56191
00492623,Ransbach-Baumbach,Rheinland-Pfalz,56237; 56424; 56235; 56424; 56235; 56427; 56237
00492624,Höhr-Grenzhausen,Rheinland-Pfalz,56203; 56235; 56206; 56204; 56203; 56206; 56203
00492625,Ochtendung,Rheinland-Pfalz,56220; 56295; 56299; 56299; 56648; 56299
00492626,Selters Westferwald,Rheinland-Pfalz,56237; 56242; 56244; 56242; 56244; 56244; 56249; 56244; 56242; 56244; 56242; 56237; 56242; 56244; 56244; 56242; 56244; 56244
00492627,Braubach,Rheinland-Pfalz,56338; 56340
00492628,Rhens,Rheinland-Pfalz,56321; 56323; 56321; 56322; 56323
00492630,Mülheim-Kärlich,Rheinland-Pfalz,56220; 56218; 56220
00492631,Neuwied,Rheinland-Pfalz,56599; 56564; 56566; 56567
00492632,Andernach,Rheinland-Pfalz,56626; 56630; 56645; 56637
00492633,Brohl-Lützing,Rheinland-Pfalz,53498; 56656; 53498
00492634,Rengsdorf,Rheinland-Pfalz,56579; 56581; 56579; 56581; 56581; 56587; 56587; 56579; 56587
00492635,Rheinbrohl,Rheinland-Pfalz,53557; 56598; 56598
00492636,Burgbrohl,Rheinland-Pfalz,56659; 56653; 56651; 56651; 56651; 53498; 56653; 56653
00492637,Weissenthurm,Rheinland-Pfalz,56220; 56575
00492638,Waldbreitbach,Rheinland-Pfalz,53547; 53547; 53547; 56588; 56589; 53547; 53547; 53547; 56581; 53547; 56589; 53547; 53547; 56588; 56588
00492639,Anhausen Kr Neuwied,Rheinland-Pfalz,56584; 56584; 56584; 56584
00492641,Bad Neuenahr-Ahrweiler,Rheinland-Pfalz,53474; 53501; 53507
00492642,Remagen,Rheinland-Pfalz,53424; 53424; 53489
00492643,Altenahr,Rheinland-Pfalz,53506; 53505; 53505; 53507; 53506; 53505; 53505; 53506; 53508; 53506
00492644,Linz am Rhein,Rheinland-Pfalz,53547; 53579; 53547; 53547; 53545; 53545; 53562
00492645,Vettelschoss,Rheinland-Pfalz,53560; 53562; 53560; 53578
00492646,Königsfeld Eifel,Rheinland-Pfalz,53426; 53426; 56651; 53426
00492647,Kesseling,Rheinland-Pfalz,53506; 53506
00492651,Mayen,Rheinland-Pfalz,56729; 56729; 56729; 56729; 56736; 56727; 56729; 56727; 56727
00492652,Mendig,Rheinland-Pfalz,56745; 56642; 56653; 56743; 56743
00492653,Kaisersesch,Rheinland-Pfalz,56761; 56761; 56759; 56761; 56761; 56761; 56761; 56729; 56814; 56761; 56759; 56759; 56814; 56759; 56759; 56761; 56761; 56759; 56761; 56761; 56814; 56761
00492654,Polch,Rheinland-Pfalz,56751; 56294; 56751; 56295; 56751; 56753; 56751; 56295; 56753; 56753
00492655,Weibern,Rheinland-Pfalz,56729; 56651; 56651; 56745; 56746; 56746; 56729; 56729; 56745; 56746; 56745; 56745
00492656,Virneburg,Rheinland-Pfalz,56729; 56729; 56729; 56729; 56729; 56729; 56729; 56729; 56729; 56729; 56729; 56729; 56729; 56729; 56729; 56729; 56729
00492657,Uersfeld,Rheinland-Pfalz,56769; 56729; 56767; 56767; 56767; 56767; 56767; 56767; 56769; 56767; 56769; 56767
00492661,Bad Marienberg Westerwald,Rheinland-Pfalz,56470; 57648; 56472; 56472; 57647; 56472; 56472; 56472; 56472; 56462; 57647; 56472; 56462; 57629; 57520; 56472; 57583; 57520; 56472; 56472; 57647; 57629; 56459; 56472; 56459; 57648
00492662,Hachenburg,Rheinland-Pfalz,57642; 57629; 57627; 57627; 57644; 57629; 57629; 57629; 57629; 57629; 57629; 57645; 57629; 57629; 57629
00492663,Westerburg Westerw,Rheinland-Pfalz,56459; 56459; 56459; 56459; 56459; 56457; 56459; 56459; 56457; 56457; 56459; 56459; 56459; 56459; 56457; 56459; 56459
00492664,Rennerod,Rheinland-Pfalz,56479; 56459; 56479; 56479; 56479; 56479; 56479; 56479; 56459; 56479; 56477; 56479; 56477; 56479; 56479; 56477
00492666,Freilingen Westerw,Rheinland-Pfalz,56244; 57629; 56244; 56244; 56244; 57629; 57629; 56244; 56459; 56244; 56244; 56244
00492667,Stein-Neukirch,Rheinland-Pfalz,56479; 56479; 56477; 56479; 56479; 56479; 56479
00492671,Cochem,Rheinland-Pfalz,56814; 56812; 56812; 56814; 56814; 56814; 56818; 56812
00492672,Treis-Karden,Rheinland-Pfalz,56754; 56829; 56754; 56754; 56754; 56829; 56288; 56290; 56290; 56754; 56254; 56254; 56754; 56829; 56253
00492673,Ellenz-Poltersdorf,Rheinland-Pfalz,56814; 56820; 56821; 56858; 56820; 56820; 56820
00492674,Bad Bertrich,Rheinland-Pfalz,56864; 56864; 54538
00492675,Ediger-Eller,Rheinland-Pfalz,56825; 56814; 56814
00492676,Ulmen,Rheinland-Pfalz,56766; 56766; 54552; 56766; 54552
00492677,Lutzerath,Rheinland-Pfalz,56766; 56825; 56825; 56826; 56825; 56825; 56826; 56826
00492678,Büchel b Cochem,Rheinland-Pfalz,56828; 56823; 56825; 56825
00492680,Mündersbach,Rheinland-Pfalz,57614; 56244; 57629; 57644; 56271; 56271; 57614; 57644; 57644
00492681,Altenkirchen Westerwald,Rheinland-Pfalz,57610; 57610; 57610; 57612; 57612; 57612; 57614; 57610; 57612; 57612; 57612; 57612; 57612; 57636; 57610; 57638; 57612; 57614; 57612; 57638; 57636; 57614; 57612; 57635
00492682,Hamm Sieg,Rheinland-Pfalz,57539; 57539; 57537; 57539; 57589; 57539; 57577; 57539; 57612; 57612; 57612; 57539; 57589; 57612; 57577
